benchmark,benchmark_label,model,variant_label,effort,max_tokens,harness,is_fusion,n_planned,n_scored,n_correct,n_error,n_missing,error_rate,error_kinds,accuracy,wilson_low,wilson_high,cost_usd_settled,cost_billed_requests,cost_usd_per_sample,cost_usd_per_planned_sample,cost_usd_estimated_public,cost_per_correct_usd,latency_p50_s,latency_p95_s,latency_mean_s,wall_time_s,input_tokens_per_sample,output_tokens_per_sample,reasoning_tokens_per_sample,routing_selected_models,started,completed
ifeval,IFEval（指令遵循）,gpt-5.6-luna,gpt-5.6-luna,high,8192,direct,false,120,120,113,0,0,0.0,,0.9417,0.8845,0.9715,0.109734,120,0.000914,0.000914,0.109734,0.000971,4.34,17.2,6.36,198.0,50.8,753.6,352.1,,2026-09-12T16:06:27+00:00,2026-09-12T16:09:45+00:00
ifeval,IFEval（指令遵循）,gpt-5.6-sol,gpt-5.6-sol,high,8192,direct,false,120,120,114,0,0,0.0,,0.95,0.8952,0.9769,1.484464,120,0.012371,0.012371,2.220605,0.013022,5.7,27.56,10.24,332.0,50.8,608.4,284.8,,2026-09-12T16:09:54+00:00,2026-09-12T16:15:26+00:00
ifeval,IFEval（指令遵循）,gpt-6-astra,gpt-6-astra,high,8192,direct,false,120,119,116,1,0,0.0083,"{""connection"": 1}",0.9748,0.9285,0.9914,4.30639,119,0.036188,0.035887,4.01343,0.037124,32.75,93.71,47.9,1790.0,51.2,675.8,370.5,,2026-09-12T16:52:58+00:00,2026-09-12T17:22:48+00:00
ifeval,IFEval（指令遵循）,claude-sonnet-5,claude-sonnet-5,high,8192,direct,false,120,120,104,0,0,0.0,,0.8667,0.7944,0.9162,0.91577,120,0.007631,0.007631,0.91577,0.008805,9.09,24.52,10.77,336.0,71.0,748.9,,,2026-09-12T16:28:34+00:00,2026-09-12T16:34:10+00:00
ifeval,IFEval（指令遵循）,claude-opus-5,claude-opus-5,high,8192,direct,false,120,120,104,0,0,0.0,,0.8667,0.7944,0.9162,4.453775,120,0.037115,0.037115,4.248735,0.042825,16.02,69.47,28.81,909.0,71.2,1413.9,,,2026-09-12T16:34:19+00:00,2026-09-12T16:49:28+00:00
ifeval,IFEval（指令遵循）,apigo/lyra-auto,Fusion auto,,8192,direct,true,120,119,104,1,0,0.0083,"{""upstream"": 1}",0.8739,0.8024,0.9221,0.058038,128,0.000488,0.000484,,0.000558,9.2,40.3,15.01,668.0,301.2,1016.2,,"{""deepseek-v4-flash"": 119}",2026-09-12T17:22:56+00:00,2026-09-12T17:34:04+00:00
ifeval,IFEval（指令遵循）,apigo/lyra-budget,Fusion budget,,8192,direct,true,120,120,111,0,0,0.0,,0.925,0.8636,0.96,0.416848,120,0.003474,0.003474,,0.003755,16.35,54.25,26.53,802.0,568.0,1578.1,,,2026-09-13T09:01:14+00:00,2026-09-13T09:14:36+00:00
ifeval,IFEval（指令遵循）,apigo/lyra-quality,Fusion quality,,8192,direct,true,120,120,112,0,0,0.0,,0.9333,0.8739,0.9658,2.827683,121,0.023564,0.023564,,0.025247,36.91,209.02,66.11,2036.0,1245.7,5825.6,,,2026-09-14T08:40:14+00:00,2026-09-14T09:14:10+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,gpt-5.6-luna,gpt-5.6-luna,high,16384,direct,false,60,60,54,0,0,0.0,,0.9,0.7985,0.9534,0.144975,60,0.002416,0.002416,0.131177,0.002685,8.36,67.2,22.8,670.0,240.3,1812.7,1636.8,,2026-09-13T10:09:50+00:00,2026-09-13T10:21:00+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,gpt-5.6-sol,gpt-5.6-sol,high,16384,direct,false,60,60,52,0,0,0.0,,0.8667,0.7583,0.9309,1.16762,60,0.01946,0.01946,1.737045,0.022454,7.22,40.85,13.13,229.0,239.8,925.1,767.3,,2026-09-13T10:21:05+00:00,2026-09-13T10:24:54+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,gpt-6-astra,gpt-6-astra,high,16384,direct,false,60,60,55,0,0,0.0,,0.9167,0.8193,0.9639,2.13475,60,0.035579,0.035579,2.13475,0.038814,18.74,61.04,25.18,410.0,239.8,663.6,429.0,,2026-09-13T10:24:57+00:00,2026-09-13T10:31:47+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,claude-sonnet-5,claude-sonnet-5,high,16384,direct,false,60,58,52,2,0,0.0333,"{""connection"": 2}",0.8966,0.7921,0.9517,1.385582,59,0.023889,0.023093,1.29262,0.026646,13.39,71.23,23.41,1013.0,345.7,2159.5,,,2026-09-13T10:31:52+00:00,2026-09-13T10:48:45+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,claude-opus-5,claude-opus-5,high,16384,direct,false,60,60,52,0,0,0.0,,0.8667,0.7583,0.9309,1.381345,60,0.023022,0.023022,1.381345,0.026564,8.29,23.86,11.06,180.0,349.1,851.1,,,2026-09-13T10:48:50+00:00,2026-09-13T10:51:50+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,apigo/lyra-auto,Fusion auto,,32768,direct,true,60,55,49,5,0,0.0833,"{""upstream"": 5}",0.8909,0.7817,0.949,0.160949,60,0.002926,0.002682,,0.003285,34.44,224.36,68.22,1413.0,669.5,6896.2,,,2026-09-14T16:27:34+00:00,2026-09-14T16:51:07+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,apigo/lyra-budget,Fusion budget,,32768,direct,true,60,56,50,4,0,0.0667,"{""upstream"": 4}",0.8929,0.7853,0.95,0.930803,60,0.016621,0.015513,,0.018616,57.12,342.71,107.86,1935.0,829.9,9077.3,,,2026-09-14T16:51:11+00:00,2026-09-14T17:23:26+00:00
gpqa_diamond,GPQA Diamond（研究生科学题）,apigo/lyra-quality,Fusion quality,,32768,direct,true,60,59,54,1,0,0.0167,"{""upstream"": 1}",0.9153,0.8165,0.9633,5.167271,60,0.087581,0.086121,,0.09569,185.63,832.97,263.43,4682.0,1437.7,19991.2,,,2026-09-14T17:23:30+00:00,2026-09-14T18:41:32+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,gpt-5.6-luna,gpt-5.6-luna,high,16384,direct,false,120,118,108,2,0,0.0167,"{""connection"": 1, ""scorer"": 1}",0.9153,0.851,0.9533,0.317421,119,0.00269,0.002645,0.302312,0.002939,6.13,109.38,23.04,1279.0,530.3,2046.6,1832.4,,2026-09-12T18:02:23+00:00,2026-09-12T18:23:42+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,gpt-5.6-sol,gpt-5.6-sol,high,16384,direct,false,120,118,106,2,0,0.0167,"{""connection"": 2}",0.8983,0.8306,0.9409,2.22188,118,0.018829,0.018516,3.2146,0.020961,5.19,83.19,16.69,1151.0,523.9,820.8,632.1,,2026-09-13T14:47:47+00:00,2026-09-13T15:06:58+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,gpt-6-astra,gpt-6-astra,high,16384,direct,false,120,115,106,5,0,0.0417,"{""connection"": 5}",0.9217,0.8579,0.9583,3.12068,116,0.027136,0.026006,2.942108,0.02944,15.84,301.98,47.16,2494.0,532.7,409.3,253.5,,2026-09-13T15:07:02+00:00,2026-09-13T15:48:36+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,claude-sonnet-5,claude-sonnet-5,high,16384,direct,false,120,110,89,10,0,0.0833,"{""connection"": 10}",0.8091,0.7257,0.8716,2.41213,110,0.021928,0.020101,2.076922,0.027103,6.45,210.59,41.31,3130.0,793.3,1782.4,,,2026-09-14T11:11:16+00:00,2026-09-14T12:03:26+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,claude-opus-5,claude-opus-5,high,16384,direct,false,120,117,111,3,0,0.025,"{""connection"": 3}",0.9487,0.8926,0.9763,3.570685,117,0.030519,0.029756,3.383545,0.032168,5.46,91.8,24.72,1369.0,801.9,1006.4,,,2026-09-13T16:38:17+00:00,2026-09-13T17:01:06+00:00
