log,task,model,reasoning_effort,sample_id,epoch,score,score_detail,difficulty,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,stop_reason,total_time_s,working_time_s,response_id,served_model,lyra_selected_model,lyra_router_model,lyra_difficulty,lyra_task_type,lyra_mode,lyra_policy_version,lyra_attempt_count,error,benchmark,variant,variant_label,is_fusion,cost_usd_matched,cost_match_duration_delta_s
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,16,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,71,1209,128,0,0,stop,10.158,10.152,chatcmpl-ENKXlfjgytweHLwdo3szxzyQ2UWV7,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00150920,0.043
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,102,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,79,166,65,0,0,stop,3.539,3.155,chatcmpl-ENKXEgvYbPoyYfBMO1MGGYFKYIo6B,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00027420,0.682
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,143,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,78,195,113,0,0,stop,2.357,2.352,chatcmpl-ENKXUS3Ny0OmFGes9Kgr5p3eGJQuZ,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00026060,0.0
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,163,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,40,1143,614,0,0,stop,8.984,8.98,chatcmpl-ENKXnKpDWn74erVCqTEmv6AChLYbe,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00137840,0.002
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,168,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,53,1095,200,0,0,stop,9.184,9.18,chatcmpl-ENKXtKiM2gu7wMGLpgOVznau9Qiek,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00119420,0.74
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,201,1,0,"{""inst_level_loose"": 0, ""inst_level_strict"": 0, ""num_instructions"": 1, ""prompt_level_loose"": false, ""prompt_level_strict"": false}",,32,2798,2317,0,0,stop,17.198,17.194,chatcmpl-ENKYA1jTFCYyofkyqd32l7Ns4ViYY,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00336400,0.115
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,218,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,57,1004,327,0,0,stop,7.618,7.614,chatcmpl-ENKYN4nzKEZ9O6oSsUPqatB5yCnYV,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00130940,0.238
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,240,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,35,176,90,0,0,stop,2.284,2.28,chatcmpl-ENKYclaYto1zxjg4R7PHGOLbrlu1t,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00024240,0.008
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,247,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,36,1477,512,0,0,stop,31.217,31.21,chatcmpl-ENKYvRVz9gCko3ap2UU5HZHc7vQtW,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00177960,0.147
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,281,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,28,190,153,0,0,stop,3.115,3.111,chatcmpl-ENKZ79hLp30YdkUQArmop5ebrEw7F,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00045460,0.189
